name,position,goals,shots
Marco Höger,MF,0,9
Marcel Risse,DF,1,18
Jonathan Schmid,DF,0,23
Nils Petersen,FW,15,64
Zlatko Junuzovic,MF,2,42
Bernardo,DF,1,12
Mergim Mavraj,DF,0,5
Marvin Bakalorz,MF,0,21
Andreas Beck,DF,1,8
Daniel Opare,DF,0,5
Håvard Nordtveit,DF,0,6
Philipp Bargfrede,MF,1,15
Matthias Ostrzolek,DF,0,15
Martin Hinteregger,DF,0,26
Makoto Hasebe,DF,0,2
Michael Gregoritsch,MF,13,91
Yevhen Konoplyanka,FW,4,54
Nadiem Amiri,MF,2,44
Kerem Demirbay,MF,2,23
Panagiotis Retsos,DF,1,12
Charles Aránguiz,MF,1,34
Julian Baumgartlinger,MF,1,11
Karim Bellarabi,FW,1,44
Lucas Alario,FW,9,58
Stefan Ilsanker,DF,0,5
Timothy Chandler,DF,2,24
Roman Bürki,GK,0,0
Marwin Hitz,GK,0,1
Marcel Schmelzer,DF,0,5
Mahmoud Dahoud,MF,0,26
Marius Wolf,MF,5,35
Benjamin Henrichs,DF,0,18
Mats Hummels,DF,1,27
Nico Schulz,DF,1,17
Péter Gulácsi,GK,0,0
Marcel Halstenberg,DF,2,25
Lukas Klostermann,DF,1,11
Konrad Laimer,DF,0,5
Thorgan Hazard,MF,10,88
Douglas Santos,DF,1,21
Philipp Tschauner,GK,0,1
Julian Weigl,MF,1,5
Javi Martínez,MF,1,22
James Rodríguez,MF,7,41
Wendell,DF,2,14
Kevin Kampl,MF,1,29
Valentino Lazaro,MF,2,18
Fabian Lustenberger,MF,0,3
Christian Gentner,MF,2,24
Nabil Bentaleb,MF,4,15
Amine Harit,MF,3,25
Jérôme Boateng,DF,1,13
Rafinha,DF,1,7
Jean-Kevin Augustin,FW,9,37
Mathew Leckie,FW,5,23
Sehrou Guirassy,FW,4,32
Kevin Danso,DF,2,9
Anastasios Donis,FW,2,38
Benjamin Stambouli,DF,0,0
Simon Falette,DF,1,15
Carlos Salcedo,DF,0,6
Max Meyer,MF,0,8
Yoshinori Muto,FW,8,37
Jorge Meré,DF,1,3
Gotoku Sakai,DF,0,20
Berkay Özcan,MF,1,12
Yuya Osako,FW,4,36
Bobby Wood,FW,2,39
Yunus Malli,FW,5,55
Kenan Karaman,MF,1,17
Mario Götze,MF,2,23
Bruma,DF,4,41
Landry Dimata,FW,0,12
Sébastien Haller,FW,9,41
Philipp Max,DF,2,18
Pablo De Blasis,FW,5,29
Franco Di Santo,FW,3,30
Christian Pulisic,FW,4,38
Divock Origi,FW,6,61
David Alaba,DF,2,24
Thiago Alcántara,MF,2,24
Ibrahima Konaté,DF,0,2
Timo Werner,FW,13,95
Jonathan de Guzmán,MF,0,11
Steven Zuber,DF,1,15
Kyriakos Papadopoulos,DF,1,23
Karim Rekik,DF,2,7
Weston McKennie,MF,0,9
Lukas Rupp,MF,3,16
Leon Bailey,FW,9,76
Jeremy Toljan,DF,1,8
Diego Demme,MF,0,12
Ante Rebic,FW,6,47
Jean-Philippe Gbamin,MF,1,26
Caglar Söyüncü,DF,1,9
Andriy Yarmolenko,FW,3,31
Walace,MF,1,18
Michaël Cuisance,MF,0,25
Robin Koch,MF,2,13
Abdou Diallo,DF,2,12
Arturo Vidal,MF,6,48
Matija Nastasic,DF,0,8
Franck Ribéry,FW,5,20
Ádám Szalai,FW,5,28
Emil Forsberg,MF,2,35
Milos Veljkovic,DF,1,4
Ludwig Augustinsson,DF,1,24
Albin Ekdal,MF,0,8
Robin Quaison,FW,4,41
Giulio Donati,DF,0,9
Thilo Kehrer,DF,3,17
Joshua Kimmich,DF,1,9
Leon Goretzka,MF,4,45
Thomas Müller,FW,8,43
Jonathan Tah,DF,0,7
Kai Havertz,MF,3,37
Julian Brandt,FW,9,43
Bernd Leno,GK,0,0
Filip Kostic,FW,5,66
Luka Jovic,FW,8,37
Matthias Ginter,DF,5,27
Peter Pekarík,DF,0,9
Ondrej Duda,MF,1,8
Maximilian Arnold,MF,2,34
Jonas Hofmann,MF,0,20
Alexandru Maxim,MF,2,27
Christian Günter,DF,1,26
Thomas Delaney,MF,3,54
Naby Keita,MF,6,42
